id;title;content;start;end;status;participants;all_day
1;Tuna integrated deposit;holistic SAS;2022-06-08;2022-06-08;DONE;fuchsia Sao;true
2;USB hack;high-level architectures;2022-06-08;2022-06-08;TODO;Home;true
3;Chicken Paradigm;Corporate connecting up;2022-06-08;2022-06-08;TODO;hack portals Ergonomic;true
4;visionary Auto;robust;2022-06-08;2022-06-07;DONE;success withdrawal withdrawal;false
5;sexy;Metal;2022-06-08;2022-06-08;DOING;Tuna;false
6;Operations;auxiliary Direct mint;2022-06-08;2022-06-08;TODO;PCI Cuban Fresh;true
7;Shoal;modular firmware;2022-06-08;2022-06-08;DOING;overriding uniform;false
8;Steel;Towels Sleek;2022-06-08;2022-06-08;DOING;Producer Rubber;false
9;Steel Salad Georgia;Account Switchable;2022-06-08;2022-06-08;TODO;Account vertical;true
10;Principal Plastic;orchid Salad up;2022-06-08;2022-06-08;DOING;salmon;false
